"FileName","Hash"
"C:\Windows\System32\atmlib.dll","9652B3854B1D93052970E902ACC1DAA4"
"C:\Windows\System32\attrib.exe","5037D8E6670EF1D89FB6AD435F12A9FD"
"C:\Windows\System32\audiodg.exe","627DEA21175691FDE4495877C53B4C87"
"C:\Windows\System32\AudioEndpointBuilder.dll","F24380B661B49849D377686D13687B4B"
"C:\Windows\System32\AudioEng.dll","675CE18846E1513862F3066DABD76C21"
"C:\Windows\System32\AudioHandlers.dll","DB49B99E5CCC599987E4FFD6AB607A71"
"C:\Windows\System32\AUDIOKSE.dll","E98568FBC069F9FA9C657D36D111A4A1"
"C:\Windows\System32\audioresourceregistrar.dll","C689351A093E0E2DDC31871CCA37093C"
"C:\Windows\System32\AudioSes.dll","6738C87D2738AE21FB972F9338B22B86"
"C:\Windows\System32\audiosrv.dll","89E85F2EB9FE117F62138AD462D5F531"
"C:\Windows\System32\AudioSrvPolicyManager.dll","A2CD00F30BCD91624B7ED4CAECE9219C"
"C:\Windows\System32\auditcse.dll","3B1F9FDD9DD3A66144C6AB4AB153E05B"
"C:\Windows\System32\AuditNativeSnapIn.dll","18F5CAAE7CEFD006F9F35276ECEE4959"
"C:\Windows\System32\auditpol.exe","0CBBB1FFE1AF93272D498FB8FBBFFCC6"
"C:\Windows\System32\auditpolcore.dll","38858D7A8C7425D6B9F669EEF430B824"
"C:\Windows\System32\AuditPolicyGPInterop.dll","C991A447FCA0FB6193AC2504155E8659"
"C:\Windows\System32\auditpolmsg.dll","560B3DCCB58DC8E04551FB4197CCCEB3"
"C:\Windows\System32\AuthBroker.dll","F9002FE027ABB2CE6846703AB332CD95"
"C:\Windows\System32\AuthBrokerUI.dll","09B23A6902A5317EDAEE32AA710E8AD5"
"C:\Windows\System32\authentication.dll","1BCE2BF027C7404E1557DCB26631ECDB"
"C:\Windows\System32\AuthExt.dll","711854525DBFD9A7406ED59D32D37F45"
"C:\Windows\System32\authfwcfg.dll","617C796943A8A8BEE803C0CED2262E5C"
"C:\Windows\System32\AuthFWGP.dll","AEC29DD818090C5FC3274179EF262D1A"
"C:\Windows\System32\AuthFWSnapin.dll","0F4CBB748916370DD8ED7DE01857A2D5"
"C:\Windows\System32\AuthFWWizFwk.dll","27E9859D10219EBFDEF33A17C31A83A8"
"C:\Windows\System32\AuthHost.exe","C1AD2D4869BC2AEBD807824467803204"
"C:\Windows\System32\AuthHostProxy.dll","85E2904BA746DBF979B09CC613B25023"
"C:\Windows\System32\authui.dll","49790F10885D36F83791FC9832F502D1"
"C:\Windows\System32\authz.dll","46F0F84A467BCE90E26670FDFEC2941A"
"C:\Windows\System32\autochk.exe","B41A9A2A0CC73A59DBB97ADC7A47240D"
"C:\Windows\System32\autoconv.exe","0FAE9437F45C390F9896B108450771E7"
"C:\Windows\System32\autofmt.exe","8A2C32A06803D05E93F21C935E4051E5"
"C:\Windows\System32\autopilot.dll","DF25CCAF4CA805B3BCF967527084BC98"
"C:\Windows\System32\autopilotdiag.dll","1585683720CF57CFA2C09CDC67C34909"
"C:\Windows\System32\autoplay.dll","83F6FA567B9EA4A0E344895EB1BB29BC"
"C:\Windows\System32\autotimesvc.dll","A0F7C552FA2B0D848758F5010A7B3AE3"
"C:\Windows\System32\AverageRoom.bin","C03F0062C0749CDB59A4D60862C3E83E"
"C:\Windows\System32\avicap32.dll","A4756ECF8166547FAF38CE14F84190A7"
"C:\Windows\System32\avifil32.dll","C5610B8B01C0766331127E4DD747EB06"
"C:\Windows\System32\avrt.dll","0CB92141535F501B8A1FC57B21A37F57"
"C:\Windows\System32\AxInstSv.dll","FCE104053ECADACF4AFAFEC2FE805DBB"
"C:\Windows\System32\AxInstUI.exe","7C4330CA1C347C2DF864D94221638649"
"C:\Windows\System32\azman.msc","C5B3E109B3B88B0CC420304EA7BF6B70"
"C:\Windows\System32\azroles.dll","1BEEA8D345B2C1B90D6EC0F6072C5DF2"
"C:\Windows\System32\azroleui.dll","12AD4CBE943BD5913BE845D34F09D11B"
"C:\Windows\System32\AzSqlExt.dll","2924B168076B0879296493BAC9E6A51B"
"C:\Windows\System32\AzureCheck.dll","07B596C0D3B103C172B7E913AC7B3C7C"
"C:\Windows\System32\AzureSettingSyncProvider.dll","B76DC7AFA2279049700F80B288FD7074"
"C:\Windows\System32\baaupdate.exe","A5BCC0E852AC6B17F3D0E6C9F95E95D4"
"C:\Windows\System32\BackgroundMediaPolicy.dll","6F45CC2DAF4D309EB3C0D84B6DF77144"
"C:\Windows\System32\backgroundTaskHost.exe","DA7063B17DBB8BBB3015351016868006"
"C:\Windows\System32\BackgroundTransferHost.exe","C5D813D92E83CDE3FECD9343933E3421"
"C:\Windows\System32\BamSettingsClient.dll","E84C848C01D7AC0D835519C05775BA2E"
"C:\Windows\System32\BarcodeProvisioningPlugin.dll","2BFDBA470909D8243EB20083648E34E8"
"C:\Windows\System32\basecsp.dll","148EEE1B5B66E73CD7F1FCC7AF21B618"
"C:\Windows\System32\basesrv.dll","522F9EFF8C957F906154B91A8DA698AE"
"C:\Windows\System32\batmeter.dll","72B4C51711C54EDFE24129AE522221A4"
"C:\Windows\System32\bcastdvr.proxy.dll","38AB458F4EAC66F5B5BA7971B7CFB0A7"
"C:\Windows\System32\BcastDVRBroker.dll","82E680F36584A6531B08479F29FEE8B8"
"C:\Windows\System32\BcastDVRClient.dll","A069F4896320B4632310E6A27B782901"
"C:\Windows\System32\BcastDVRCommon.dll","194369E6EF0811CEA929022A8A6EE6B7"
"C:\Windows\System32\bcastdvruserservice.dll","D8B686D3C74602B2D0A13F7C5D095EE8"
"C:\Windows\System32\bcd.dll","A08367FA89E15114ED11EAADD779A7D0"
"C:\Windows\System32\bcdboot.exe","238D661D9F978588C3FFFF5DDBE10C3D"
"C:\Windows\System32\bcdedit.exe","74F7B84B0A547592CA63A00A8C4AD583"
"C:\Windows\System32\bcdprov.dll","ADD708E16110CBCA5C49C32F44F16F91"
"C:\Windows\System32\bcdsrv.dll","DA21AF03A9CC437457F372B49DA786CE"
"C:\Windows\System32\BCP47Langs.dll","72C65E4770BE939696D2A4A2F80BFE19"
"C:\Windows\System32\BCP47mrm.dll","616FD7FFDF58BC3CDE5D45F6254DBAB4"
"C:\Windows\System32\bcrypt.dll","A4BE5153C4441FFEDA74AA99D4B2E830"
"C:\Windows\System32\bcryptprimitives.dll","997827CE8AEFAC419ED1880C1F58E718"
"C:\Windows\System32\bdaplgin.ax","D369CCC0DC316FE3BB953E9104C70B5E"
"C:\Windows\System32\bdechangepin.exe","540AEC02F281D9D036B6D5F6D9BA2356"
"C:\Windows\System32\BdeHdCfg.exe","89D0572C9B53F34230C8514F6B11BD56"
